16,16,1,32,32
16,32,1,32,32
32,32,1,32,32
16,64,1,32,32
32,64,1,32,32
64,64,1,32,32
16,128,1,32,32
32,128,1,32,32
64,128,1,32,32
128,128,1,32,32
16,128,1,32,32
32,256,1,32,32
64,256,1,32,32
128,256,1,32,32
256,256,1,32,32
16,512,1,32,32
32,512,1,32,32
64,512,1,32,32
128,512,1,32,32
256,512,1,32,32
512,512,1,32,32
16,16,3,32,32
16,32,3,32,32
32,32,3,32,32
16,64,3,32,32
32,64,3,32,32
64,64,3,32,32
16,128,3,32,32
32,128,3,32,32
64,128,3,32,32
128,128,3,32,32
16,128,3,32,32
32,256,3,32,32
64,256,3,32,32
128,256,3,32,32
256,256,3,32,32
16,512,3,32,32
32,512,3,32,32
64,512,3,32,32
128,512,3,32,32
256,512,3,32,32
512,512,3,32,32
16,16,5,32,32
16,32,5,32,32
32,32,5,32,32
16,64,5,32,32
32,64,5,32,32
64,64,5,32,32
16,128,5,32,32
32,128,5,32,32
64,128,5,32,32
128,128,5,32,32
16,128,5,32,32
32,256,5,32,32
64,256,5,32,32
128,256,5,32,32
256,256,5,32,32
16,512,5,32,32
32,512,5,32,32
64,512,5,32,32
128,512,5,32,32
256,512,5,32,32
512,512,5,32,32
16,16,7,32,32
16,32,7,32,32
32,32,7,32,32
16,64,7,32,32
32,64,7,32,32
64,64,7,32,32
16,128,7,32,32
32,128,7,32,32
64,128,7,32,32
128,128,7,32,32
16,128,7,32,32
32,256,7,32,32
64,256,7,32,32
128,256,7,32,32
256,256,7,32,32
16,512,7,32,32
32,512,7,32,32
64,512,7,32,32
128,512,7,32,32
256,512,7,32,32
512,512,7,32,32
16,16,1,64,32
16,32,1,64,32
32,32,1,64,32
16,64,1,64,32
32,64,1,64,32
64,64,1,64,32
16,128,1,64,32
32,128,1,64,32
64,128,1,64,32
128,128,1,64,32
16,128,1,64,32
32,256,1,64,32
64,256,1,64,32
128,256,1,64,32
256,256,1,64,32
16,512,1,64,32
32,512,1,64,32
64,512,1,64,32
128,512,1,64,32
256,512,1,64,32
512,512,1,64,32
16,16,3,64,32
16,32,3,64,32
32,32,3,64,32
16,64,3,64,32
32,64,3,64,32
64,64,3,64,32
16,128,3,64,32
32,128,3,64,32
64,128,3,64,32
128,128,3,64,32
16,128,3,64,32
32,256,3,64,32
64,256,3,64,32
128,256,3,64,32
256,256,3,64,32
16,512,3,64,32
32,512,3,64,32
